var,value_type,dataset_id,var_label
DX9,string,AZ_SID_2015q1q3_CORE,Diagnosis 9
DXCCS1,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 1
DXCCS10,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 10
DXCCS11,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 11
DXCCS12,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 12
DXCCS13,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 13
DXCCS14,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 14
DXCCS15,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 15
DXCCS16,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 16
DXCCS17,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 17
DXCCS18,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 18
DXCCS19,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 19
DXCCS2,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 2
DXCCS20,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 20
DXCCS21,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 21
DXCCS22,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 22
DXCCS23,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 23
DXCCS24,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 24
DXCCS25,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 25
DXCCS3,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 3
DXCCS4,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 4
DXCCS5,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 5
DXCCS6,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 6
DXCCS7,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 7
DXCCS8,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 8
DXCCS9,int32,AZ_SID_2015q1q3_CORE,CCS: diagnosis 9
DXPOA1,string,AZ_SID_2015q1q3_CORE,"Diagnosis 1, present on admission indicator"
DXPOA10,string,AZ_SID_2015q1q3_CORE,"Diagnosis 10, present on admission indicator"
DXPOA11,string,AZ_SID_2015q1q3_CORE,"Diagnosis 11, present on admission indicator"
DXPOA12,string,AZ_SID_2015q1q3_CORE,"Diagnosis 12, present on admission indicator"
DXPOA13,string,AZ_SID_2015q1q3_CORE,"Diagnosis 13, present on admission indicator"
DXPOA14,string,AZ_SID_2015q1q3_CORE,"Diagnosis 14, present on admission indicator"
DXPOA15,string,AZ_SID_2015q1q3_CORE,"Diagnosis 15, present on admission indicator"
DXPOA16,string,AZ_SID_2015q1q3_CORE,"Diagnosis 16, present on admission indicator"
DXPOA17,string,AZ_SID_2015q1q3_CORE,"Diagnosis 17, present on admission indicator"
DXPOA18,string,AZ_SID_2015q1q3_CORE,"Diagnosis 18, present on admission indicator"
DXPOA19,string,AZ_SID_2015q1q3_CORE,"Diagnosis 19, present on admission indicator"
DXPOA2,string,AZ_SID_2015q1q3_CORE,"Diagnosis 2, present on admission indicator"
DXPOA20,string,AZ_SID_2015q1q3_CORE,"Diagnosis 20, present on admission indicator"
DXPOA21,string,AZ_SID_2015q1q3_CORE,"Diagnosis 21, present on admission indicator"
DXPOA22,string,AZ_SID_2015q1q3_CORE,"Diagnosis 22, present on admission indicator"
DXPOA23,string,AZ_SID_2015q1q3_CORE,"Diagnosis 23, present on admission indicator"
DXPOA24,string,AZ_SID_2015q1q3_CORE,"Diagnosis 24, present on admission indicator"
DXPOA25,string,AZ_SID_2015q1q3_CORE,"Diagnosis 25, present on admission indicator"
DXPOA3,string,AZ_SID_2015q1q3_CORE,"Diagnosis 3, present on admission indicator"
DXPOA4,string,AZ_SID_2015q1q3_CORE,"Diagnosis 4, present on admission indicator"
DXPOA5,string,AZ_SID_2015q1q3_CORE,"Diagnosis 5, present on admission indicator"
DXPOA6,string,AZ_SID_2015q1q3_CORE,"Diagnosis 6, present on admission indicator"
DXPOA7,string,AZ_SID_2015q1q3_CORE,"Diagnosis 7, present on admission indicator"
DXPOA8,string,AZ_SID_2015q1q3_CORE,"Diagnosis 8, present on admission indicator"
DXPOA9,string,AZ_SID_2015q1q3_CORE,"Diagnosis 9, present on admission indicator"
DXVER,int32,AZ_SID_2015q1q3_CORE,Diagnosis Version
DX_Admitting,string,AZ_SID_2015q1q3_CORE,Admitting Diagnosis Code
ECODE1,string,AZ_SID_2015q1q3_CORE,E code 1
ECODE2,string,AZ_SID_2015q1q3_CORE,E code 2
ECODE3,string,AZ_SID_2015q1q3_CORE,E code 3
ECODE4,string,AZ_SID_2015q1q3_CORE,E code 4
ECODE5,string,AZ_SID_2015q1q3_CORE,E code 5
ECODE6,string,AZ_SID_2015q1q3_CORE,E code 6
E_CCS1,int32,AZ_SID_2015q1q3_CORE,CCS: E Code 1
E_CCS2,int32,AZ_SID_2015q1q3_CORE,CCS: E Code 2
E_CCS3,int32,AZ_SID_2015q1q3_CORE,CCS: E Code 3
E_CCS4,int32,AZ_SID_2015q1q3_CORE,CCS: E Code 4
E_CCS5,int32,AZ_SID_2015q1q3_CORE,CCS: E Code 5
E_CCS6,int32,AZ_SID_2015q1q3_CORE,CCS: E Code 6
E_POA1,string,AZ_SID_2015q1q3_CORE,"E Code 1, present on admission indicator"
E_POA2,string,AZ_SID_2015q1q3_CORE,"E Code 2, present on admission indicator"
E_POA3,string,AZ_SID_2015q1q3_CORE,"E Code 3, present on admission indicator"
E_POA4,string,AZ_SID_2015q1q3_CORE,"E Code 4, present on admission indicator"
E_POA5,string,AZ_SID_2015q1q3_CORE,"E Code 5, present on admission indicator"
E_POA6,string,AZ_SID_2015q1q3_CORE,"E Code 6, present on admission indicator"
FEMALE,int32,AZ_SID_2015q1q3_CORE,Indicator of sex
HCUP_ED,int32,AZ_SID_2015q1q3_CORE,HCUP Emergency Department service indicator
HCUP_OS,int32,AZ_SID_2015q1q3_CORE,HCUP Observation Stay service indicator
HISPANIC,int32,AZ_SID_2015q1q3_CORE,Hispanic ethnicity (uniform)
HISPANIC_X,string,AZ_SID_2015q1q3_CORE,Hispanic ethnicity (as received from source)
HOSPBRTH,int32,AZ_SID_2015q1q3_CORE,Indicator of birth in this hospital
HOSPST,string,AZ_SID_2015q1q3_CORE,Hospital state postal code
HOSP_NPI,string,AZ_SID_2015q1q3_CORE,Hospital NPI
Homeless,int32,AZ_SID_2015q1q3_CORE,Indicator that patient is homeless
KEY,double,AZ_SID_2015q1q3_CORE,HCUP record identifier
LOS,int32,AZ_SID_2015q1q3_CORE,Length of stay (cleaned)
LOS_X,int32,AZ_SID_2015q1q3_CORE,Length of stay (as received from source)
MARITALSTATUSUB04,string,AZ_SID_2015q1q3_CORE,"Patient's marital status, UB-04 standard coding"
MDBOARD1,string,AZ_SID_2015q1q3_CORE,Physician 1 licensing board (as received from source)
MDBOARD2,string,AZ_SID_2015q1q3_CORE,Physician 2 licensing board (as received from source)
MDC,int32,AZ_SID_2015q1q3_CORE,MDC in effect on discharge date
MDC32,int32,AZ_SID_2015q1q3_CORE,"MDC, version 32"
MDC_NoPOA,int32,AZ_SID_2015q1q3_CORE,"MDC in use on discharge date, calculated without POA"
MDNUM1_R,int32,AZ_SID_2015q1q3_CORE,Physician 1 number (re-identified)
MDNUM2_R,int32,AZ_SID_2015q1q3_CORE,Physician 2 number (re-identified)
MDNUM3_R,int32,AZ_SID_2015q1q3_CORE,Physician 3 number (re-identified)
MEDINCSTQ,int32,AZ_SID_2015q1q3_CORE,Median household income state quartile for patient ZIP Code
MRN_R,int32,AZ_SID_2015q1q3_CORE,Medical record number (re-identified)
NCHRONIC,int32,AZ_SID_2015q1q3_CORE,Number of chronic conditions
NDX,int32,AZ_SID_2015q1q3_CORE,Number of diagnoses on this record
NECODE,int32,AZ_SID_2015q1q3_CORE,Number of E codes on this record
NEOMAT,int32,AZ_SID_2015q1q3_CORE,Neonatal and/or maternal DX and/or PR
NPR,int32,AZ_SID_2015q1q3_CORE,Number of procedures on this record
ORPROC,int32,AZ_SID_2015q1q3_CORE,Major operating room procedure indicator
P7EDSRC_X,string,AZ_SID_2015q1q3_CORE,"Condition Code P7, Direct Inpatient Admission from Emergency Room"
PAY1,int32,AZ_SID_2015q1q3_CORE,Primary expected payer (uniform)
PAY1_X,string,AZ_SID_2015q1q3_CORE,Primary expected payer (as received from source)
PL_CBSA,int32,AZ_SID_2015q1q3_CORE,Patient location: Core Based Statistical Area (CBSA)
PL_NCHS,int32,AZ_SID_2015q1q3_CORE,Patient Location: NCHS Urban-Rural Code
PL_RUCC,int32,AZ_SID_2015q1q3_CORE,Patient location: Rural-Urban Continuum Codes(RUCC)
PL_UIC,int32,AZ_SID_2015q1q3_CORE,Patient location: Urban Influence Codes
PL_UR_CAT4,int32,AZ_SID_2015q1q3_CORE,Patient Location: Urban-Rural 4 Categories
POA_Disch_Edit1,int32,AZ_SID_2015q1q3_CORE,Discharge has POA missing on all nonexempt diagnoses
POA_Disch_Edit2,int32,AZ_SID_2015q1q3_CORE,Discharge has POA missing on all nonexempt secondary diagnoses
POA_Hosp_Edit1,int32,AZ_SID_2015q1q3_CORE,Hospital reported POA as Y on all diagnoses on all discharges
POA_Hosp_Edit2,int32,AZ_SID_2015q1q3_CORE,Hospital reported POA as missing on all non-Medicare discharges
POA_Hosp_Edit3,int32,AZ_SID_2015q1q3_CORE,Hospital reported POA as missing on all nonexempt diagnoses for 15% or more of d
POA_Hosp_Edit3_Value,double,AZ_SID_2015q1q3_CORE,Percentage of discharges with all nonexempt diagnoses missing POA indicators
PR1,string,AZ_SID_2015q1q3_CORE,Procedure 1
PR10,string,AZ_SID_2015q1q3_CORE,Procedure 10
PR11,string,AZ_SID_2015q1q3_CORE,Procedure 11
PR12,string,AZ_SID_2015q1q3_CORE,Procedure 12
PR2,string,AZ_SID_2015q1q3_CORE,Procedure 2
PR3,string,AZ_SID_2015q1q3_CORE,Procedure 3
PR4,string,AZ_SID_2015q1q3_CORE,Procedure 4
PR5,string,AZ_SID_2015q1q3_CORE,Procedure 5
PR6,string,AZ_SID_2015q1q3_CORE,Procedure 6
PR7,string,AZ_SID_2015q1q3_CORE,Procedure 7
PR8,string,AZ_SID_2015q1q3_CORE,Procedure 8
PR9,string,AZ_SID_2015q1q3_CORE,Procedure 9
PRCCS1,int32,AZ_SID_2015q1q3_CORE,CCS: procedure 1
PRCCS10,int32,AZ_SID_2015q1q3_CORE,CCS: procedure 10
PRCCS11,int32,AZ_SID_2015q1q3_CORE,CCS: procedure 11
PRCCS12,int32,AZ_SID_2015q1q3_CORE,CCS: procedure 12
PRCCS2,int32,AZ_SID_2015q1q3_CORE,CCS: procedure 2
PRCCS3,int32,AZ_SID_2015q1q3_CORE,CCS: procedure 3
PRCCS4,int32,AZ_SID_2015q1q3_CORE,CCS: procedure 4
PRCCS5,int32,AZ_SID_2015q1q3_CORE,CCS: procedure 5
PRCCS6,int32,AZ_SID_2015q1q3_CORE,CCS: procedure 6
PRCCS7,int32,AZ_SID_2015q1q3_CORE,CCS: procedure 7
PRCCS8,int32,AZ_SID_2015q1q3_CORE,CCS: procedure 8
PRCCS9,int32,AZ_SID_2015q1q3_CORE,CCS: procedure 9
PRDAY1,int32,AZ_SID_2015q1q3_CORE,Number of days from admission to PR1
PRDAY10,int32,AZ_SID_2015q1q3_CORE,Number of days from admission to PR10
PRDAY11,int32,AZ_SID_2015q1q3_CORE,Number of days from admission to PR11
PRDAY12,int32,AZ_SID_2015q1q3_CORE,Number of days from admission to PR12
PRDAY2,int32,AZ_SID_2015q1q3_CORE,Number of days from admission to PR2
PRDAY3,int32,AZ_SID_2015q1q3_CORE,Number of days from admission to PR3
PRDAY4,int32,AZ_SID_2015q1q3_CORE,Number of days from admission to PR4
PRDAY5,int32,AZ_SID_2015q1q3_CORE,Number of days from admission to PR5
PRDAY6,int32,AZ_SID_2015q1q3_CORE,Number of days from admission to PR6
PRDAY7,int32,AZ_SID_2015q1q3_CORE,Number of days from admission to PR7
PRDAY8,int32,AZ_SID_2015q1q3_CORE,Number of days from admission to PR8
PRDAY9,int32,AZ_SID_2015q1q3_CORE,Number of days from admission to PR9
PRMONTH1,int32,AZ_SID_2015q1q3_CORE,Month of procedure 1
PRMONTH10,int32,AZ_SID_2015q1q3_CORE,Month of procedure 10
PRMONTH11,int32,AZ_SID_2015q1q3_CORE,Month of procedure 11
PRMONTH12,int32,AZ_SID_2015q1q3_CORE,Month of procedure 12
PRMONTH2,int32,AZ_SID_2015q1q3_CORE,Month of procedure 2
PRMONTH3,int32,AZ_SID_2015q1q3_CORE,Month of procedure 3
PRMONTH4,int32,AZ_SID_2015q1q3_CORE,Month of procedure 4
PRMONTH5,int32,AZ_SID_2015q1q3_CORE,Month of procedure 5
PRMONTH6,int32,AZ_SID_2015q1q3_CORE,Month of procedure 6
PRMONTH7,int32,AZ_SID_2015q1q3_CORE,Month of procedure 7
PRMONTH8,int32,AZ_SID_2015q1q3_CORE,Month of procedure 8
PRMONTH9,int32,AZ_SID_2015q1q3_CORE,Month of procedure 9
PROCTYPE,int32,AZ_SID_2015q1q3_CORE,Procedure type indicator
PRVER,int32,AZ_SID_2015q1q3_CORE,Procedure Version
PRYEAR1,int32,AZ_SID_2015q1q3_CORE,Year of procedure 1
PRYEAR10,int32,AZ_SID_2015q1q3_CORE,Year of procedure 10
PRYEAR11,int32,AZ_SID_2015q1q3_CORE,Year of procedure 11
PRYEAR12,int32,AZ_SID_2015q1q3_CORE,Year of procedure 12
PRYEAR2,int32,AZ_SID_2015q1q3_CORE,Year of procedure 2
PRYEAR3,int32,AZ_SID_2015q1q3_CORE,Year of procedure 3
PRYEAR4,int32,AZ_SID_2015q1q3_CORE,Year of procedure 4
PRYEAR5,int32,AZ_SID_2015q1q3_CORE,Year of procedure 5
PRYEAR6,int32,AZ_SID_2015q1q3_CORE,Year of procedure 6
PRYEAR7,int32,AZ_SID_2015q1q3_CORE,Year of procedure 7
PRYEAR8,int32,AZ_SID_2015q1q3_CORE,Year of procedure 8
PRYEAR9,int32,AZ_SID_2015q1q3_CORE,Year of procedure 9
PSTATE,string,AZ_SID_2015q1q3_CORE,Patient State postal code
PSTCO2,int32,AZ_SID_2015q1q3_CORE,"Patient state/county FIPS code, possibly derived from ZIP Code"
PointOfOriginUB04,string,AZ_SID_2015q1q3_CORE,"Point of origin for admission or visit, UB-04 standard coding"
PointOfOrigin_X,string,AZ_SID_2015q1q3_CORE,"Point of origin for admission or visit, as received from source"
RACE,int32,AZ_SID_2015q1q3_CORE,Race (uniform)
RACE_X,string,AZ_SID_2015q1q3_CORE,Race (as received from source)
SERVICELINE,int32,AZ_SID_2015q1q3_CORE,Hospital Service Line
SPLIT_IPED,int32,AZ_SID_2015q1q3_CORE,"Split IP/ED records-single visit, from CAH"
TOTCHG,double,AZ_SID_2015q1q3_CORE,Total charges (cleaned)
TOTCHG_X,double,AZ_SID_2015q1q3_CORE,Total charges (as received from source)
TRAN_IN,int32,AZ_SID_2015q1q3_CORE,Transfer in indicator
TRAN_OUT,int32,AZ_SID_2015q1q3_CORE,Transfer out indicator
YEAR,int32,AZ_SID_2015q1q3_CORE,Calendar year
ZIP,string,AZ_SID_2015q1q3_CORE,Patient ZIP Code
ZIP3,string,AZ_SID_2015q1q3_CORE,"Patient ZIP Code, first 3 digits"
ZIPINC_QRTL,int32,AZ_SID_2015q1q3_CORE,Median household income national quartile for patient ZIP Code
BODYSYSTEM1,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 1
BODYSYSTEM10,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 10
BODYSYSTEM11,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 11
BODYSYSTEM12,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 12
BODYSYSTEM13,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 13
BODYSYSTEM14,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 14
BODYSYSTEM15,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 15
BODYSYSTEM16,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 16
BODYSYSTEM17,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 17
BODYSYSTEM18,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 18
BODYSYSTEM19,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 19
BODYSYSTEM2,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 2
BODYSYSTEM20,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 20
BODYSYSTEM21,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 21
BODYSYSTEM22,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 22
BODYSYSTEM23,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 23
BODYSYSTEM24,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 24
BODYSYSTEM25,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 25
BODYSYSTEM3,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 3
BODYSYSTEM4,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 4
BODYSYSTEM5,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 5
BODYSYSTEM6,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 6
BODYSYSTEM7,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 7
BODYSYSTEM8,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 8
BODYSYSTEM9,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Body system 9
CHRON1,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 1
CHRON10,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 10
CHRON11,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 11
CHRON12,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 12
CHRON13,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 13
CHRON14,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 14
CHRON15,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 15
CHRON16,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 16
CHRON17,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 17
CHRON18,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 18
CHRON19,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 19
CHRON2,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 2
CHRON20,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 20
CHRON21,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 21
CHRON22,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 22
CHRON23,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 23
CHRON24,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 24
CHRON25,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 25
CHRON3,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 3
CHRON4,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 4
CHRON5,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 5
CHRON6,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 6
CHRON7,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 7
CHRON8,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 8
CHRON9,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Chronic condition indicator 9
DXMCCS1,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 1
DXMCCS10,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 10
DXMCCS11,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 11
DXMCCS12,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 12
DXMCCS13,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 13
DXMCCS14,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 14
DXMCCS15,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 15
DXMCCS16,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 16
DXMCCS17,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 17
DXMCCS18,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 18
DXMCCS19,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 19
DXMCCS2,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 2
DXMCCS20,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 20
DXMCCS21,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 21
DXMCCS22,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 22
DXMCCS23,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 23
DXMCCS24,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 24
DXMCCS25,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 25
DXMCCS3,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 3
DXMCCS4,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 4
DXMCCS5,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 5
DXMCCS6,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 6
DXMCCS7,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 7
DXMCCS8,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 8
DXMCCS9,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  Diagnosis 9
E_MCCS1,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  E Code 1
E_MCCS2,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  E Code 2
E_MCCS3,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  E Code 3
E_MCCS4,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  E Code 4
E_MCCS5,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  E Code 5
E_MCCS6,string,AZ_SID_2015q1q3_DX_PR_GRPS,Multi-Level CCS:  E Code 6
INJURY,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Injury diagnosis reported on record (1:DX1 is an injury; 2:DX2+ is an injury; 0:
INJURY_CUT,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Injury by cutting or piercing (by E codes)
INJURY_DROWN,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Injury by drowning or submersion (by E codes)
INJURY_FALL,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Injury by falling (by E codes)
INJURY_FIRE,int32,AZ_SID_2015q1q3_DX_PR_GRPS,"Injury by fire, flame or hot object (by E codes)"
INJURY_FIREARM,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Injury by firearm (by E codes)
INJURY_MACHINERY,int32,AZ_SID_2015q1q3_DX_PR_GRPS,Injury by machinery (by E codes)
